NR, 1, 2, 3, 4, 5, 6, 7, 8
106,4,7,37,6,35,25,2,52
107,4,12,36,6,35,25,2,52
108,4,14,35,6,36,25,2,52
109,4,14,34,6,35,25,2,52
110,4,14,34,6,36,25,3,52
111,4,14,34,6,36,25,3,52
112,4,9,33,6,36,25,2,52
113,6,10,33,7,36,25,2,49
114,6,17,32,7,36,25,2,48
115,6,16,31,6,36,24,3,48
116,6,11,32,7,36,25,3,49
117,8,7,32,7,35,25,3,47
118,8,8,33,6,35,24,3,47
119,7,6,34,6,35,24,3,48
120,7,5,35,7,35,25,3,51
121,6,4,36,7,35,25,3,49
122,6,5,36,7,35,26,4,49
123,6,4,37,8,37,27,4,49
124,6,4,38,8,36,26,4,48
125,6,6,38,8,36,26,4,49
126,5,9,38,8,37,26,4,50
127,4,5,38,7,36,26,4,52
128,6,6,38,7,35,26,4,55
129,5,6,38,7,35,26,4,54
130,4,8,37,7,34,26,3,53
131,4,13,38,6,35,26,3,53
132,4,12,37,6,35,26,3,53
133,4,17,35,6,35,26,3,54
134,4,14,33,6,35,26,3,54
135,4,14,32,6,36,27,4,54
136,2,16,32,6,35,26,3,61
137,4,15,32,6,36,27,3,61
138,4,17,32,6,36,27,2,60
139,5,14,31,6,35,27,2,60
140,5,11,31,7,36,27,2,60
141,4,9,30,7,37,27,3,60
142,3,9,30,7,36,28,3,60
143,3,7,31,6,35,28,3,62
144,3,9,31,6,35,27,2,63
145,2,12,31,6,35,27,2,64
146,2,14,29,6,35,27,1,64
147,2,18,29,5,35,27,1,64
148,2,25,28,5,35,27,1,64
149,2,24,28,6,35,28,1,64
150,2,20,26,6,35,28,1,63
151,4,17,25,6,35,28,1,63
152,4,16,25,6,35,28,1,63
153,4,17,24,5,35,28,1,63
154,4,14,23,7,35,29,1,63
155,4,11,23,7,35,29,1,64
156,4,15,22,7,35,29,2,64
157,4,18,21,7,35,29,2,64
158,4,19,21,7,35,29,2,65
159,8,9,22,7,36,29,2,65
160,8,6,23,7,35,30,2,65
161,8,8,23,6,35,30,2,64
162,8,7,24,6,36,29,2,64
163,8,9,24,7,36,29,2,64
164,8,10,23,7,35,29,2,64
165,8,8,24,7,36,29,2,63
166,9,7,25,7,36,29,3,63
167,7,7,25,6,36,29,2,62
168,6,9,26,6,35,28,2,62
